Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Fri May  1 15:08:20 2026
| Host         : clara running 64-bit NixOS 25.11 (Xantusia)
| Command      : report_utilization -hierarchical -file util_inter_8.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+-------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs |  SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|             BSCANID.u_xsdbm_id                                                                                                                          |                                                                     xsdbm_4_xsdbm_v3_0_0_xsdbm_id | Reconfigurable |            - |        577 |        557 |      20 |     0 |    887 |      0 |      0 |    0 |          0 |
|               (BSCANID.u_xsdbm_id)                                                                                                                      |                                                                     xsdbm_4_xsdbm_v3_0_0_xsdbm_id | Reconfigurable |            - |         34 |         34 |       0 |     0 |     36 |      0 |      0 |    0 |          0 |
|               CORE_XSDB.UUT_MASTER                                                                                                                      |                                                                    xsdbm_4_xsdbm_v3_0_0_icon2xsdb | Reconfigurable |            - |        528 |        508 |      20 |     0 |    823 |      0 |      0 |    0 |          0 |
|                 U_ICON_INTERFACE                                                                                                                        |                                                                           xsdbm_4_xsdbm_v3_0_0_if | Reconfigurable |            - |        254 |        234 |      20 |     0 |    594 |      0 |      0 |    0 |          0 |
|                   (U_ICON_INTERFACE)                                                                                                                    |                                                                           xsdbm_4_xsdbm_v3_0_0_if | Reconfigurable |            - |          6 |          6 |       0 |     0 |     15 |      0 |      0 |    0 |          0 |
|                   U_CMD1                                                                                                                                |                                                                      xsdbm_4_xsdbm_v3_0_0_ctl_reg | Reconfigurable |            - |         26 |         26 |       0 |     0 |     58 |      0 |      0 |    0 |          0 |
|                   U_CMD2                                                                                                                                |                                                                     xsdbm_4_xsdbm_v3_0_0_stat_reg | Reconfigurable |            - |          5 |          5 |       0 |     0 |     22 |      0 |      0 |    0 |          0 |
|                   U_CMD3                                                                                                                                |                                                     xsdbm_4_xsdbm_v3_0_0_stat_reg__parameterized0 | Reconfigurable |            - |         28 |         28 |       0 |     0 |    114 |      0 |      0 |    0 |          0 |
|                   U_CMD4                                                                                                                                |                                                      xsdbm_4_xsdbm_v3_0_0_ctl_reg__parameterized0 | Reconfigurable |            - |         62 |         62 |       0 |     0 |     62 |      0 |      0 |    0 |          0 |
|                   U_CMD5                                                                                                                                |                                                      xsdbm_4_xsdbm_v3_0_0_ctl_reg__parameterized1 | Reconfigurable |            - |          6 |          6 |       0 |     0 |     42 |      0 |      0 |    0 |          0 |
|                   U_CMD6_RD                                                                                                                             |                                                                        xsdbm_4_xsdbm_v3_0_0_rdreg | Reconfigurable |            - |         66 |         56 |      10 |     0 |    134 |      0 |      0 |    0 |          0 |
|                     (U_CMD6_RD)                                                                                                                         |                                                                        xsdbm_4_xsdbm_v3_0_0_rdreg | Reconfigurable |            - |          2 |          2 |       0 |     0 |     20 |      0 |      0 |    0 |          0 |
|                     U_RD_FIFO                                                                                                                           |                                                                       xsdbm_4_xsdbm_v3_0_0_rdfifo | Reconfigurable |            - |         64 |         54 |      10 |     0 |    114 |      0 |      0 |    0 |          0 |
|                       (U_RD_FIFO)                                                                                                                       |                                                                       xsdbm_4_xsdbm_v3_0_0_rdfifo | Reconfigurable |            - |         19 |         19 |       0 |     0 |      0 |      0 |      0 |    0 |          0 |
|                       SUBCORE_FIFO.xsdbm_v3_0_0_rdfifo_inst                                                                                             |                                                    xsdbm_4_fifo_generator_v13_1_4__parameterized0 | Reconfigurable |            - |         45 |         35 |      10 |     0 |    114 |      0 |      0 |    0 |          0 |
