Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2023 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2023.2 (lin64) Build 4029153 Fri Oct 13 20:13:54 MDT 2023
| Date         : Tue May  5 13:27:07 2026
| Host         : amy running 64-bit NixOS 25.11 (Xantusia)
| Command      : report_utilization -hierarchical -file util_resource_usage.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Routed
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|                     U_RD_FIFO                                                                                                                           |                                                                       xsdbm_0_xsdbm_v3_0_0_rdfifo | Reconfigurable |            - |         59 |         49 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                       (U_RD_FIFO)                                                                                                                       |                                                                       xsdbm_0_xsdbm_v3_0_0_rdfifo | Reconfigurable |            - |         18 |         18 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       SUBCORE_FIFO.xsdbm_v3_0_0_rdfifo_inst                                                                                             |                                                    xsdbm_0_fifo_generator_v13_1_5__parameterized0 | Reconfigurable |            - |         41 |         31 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                         (SUBCORE_FIFO.xsdbm_v3_0_0_rdfifo_inst)                                                                                         |                                                    xsdbm_0_fifo_generator_v13_1_5__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                         inst_fifo_gen                                                                                                                   |                                              xsdbm_0_fifo_generator_v13_1_5_synth__parameterized0 | Reconfigurable |            - |         41 |         31 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                           gconvfifo.rf                                                                                                                  |                                                        xsdbm_0_fifo_generator_top__parameterized0 | Reconfigurable |            - |         41 |         31 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                             grf.rf                                                                                                                      |                                                    xsdbm_0_fifo_generator_ramfifo__parameterized0 | Reconfigurable |            - |         41 |         31 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gcx.clkx                                                                                                |                                                                             xsdbm_0_clk_x_pntrs_7 | Reconfigurable |            - |         12 |         12 |       0 |    0 |     32 |      0 |      0 |    0 |          0 |
|                                 (gntv_or_sync_fifo.gcx.clkx)                                                                                            |                                                                             xsdbm_0_clk_x_pntrs_7 | Reconfigurable |            - |         10 |         10 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].rd_stg_inst                                                                                    |                                                        xsdbm_0_synchronizer_ff__parameterized0_19 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
