Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Fri May  1 14:58:18 2026
| Host         : clara running 64-bit NixOS 25.11 (Xantusia)
| Command      : report_utilization -hierarchical -file util_inter_6.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|                     U_RD_FIFO                                                                                                                           |                                                                       xsdbm_6_xsdbm_v3_0_0_rdfifo | Reconfigurable |            - |         61 |         51 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                       (U_RD_FIFO)                                                                                                                       |                                                                       xsdbm_6_xsdbm_v3_0_0_rdfifo | Reconfigurable |            - |         18 |         18 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       SUBCORE_FIFO.xsdbm_v3_0_0_rdfifo_inst                                                                                             |                                                    xsdbm_6_fifo_generator_v13_1_4__parameterized0 | Reconfigurable |            - |         43 |         33 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                         (SUBCORE_FIFO.xsdbm_v3_0_0_rdfifo_inst)                                                                                         |                                                    xsdbm_6_fifo_generator_v13_1_4__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                         inst_fifo_gen                                                                                                                   |                                              xsdbm_6_fifo_generator_v13_1_4_synth__parameterized0 | Reconfigurable |            - |         43 |         33 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                           gconvfifo.rf                                                                                                                  |                                                        xsdbm_6_fifo_generator_top__parameterized0 | Reconfigurable |            - |         43 |         33 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                             grf.rf                                                                                                                      |                                                    xsdbm_6_fifo_generator_ramfifo__parameterized0 | Reconfigurable |            - |         43 |         33 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gcx.clkx                                                                                                |                                                                             xsdbm_6_clk_x_pntrs_7 | Reconfigurable |            - |         11 |         11 |       0 |    0 |     32 |      0 |      0 |    0 |          0 |
|                                 (gntv_or_sync_fifo.gcx.clkx)                                                                                            |                                                                             xsdbm_6_clk_x_pntrs_7 | Reconfigurable |            - |         10 |         10 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].rd_stg_inst                                                                                    |                                                        xsdbm_6_synchronizer_ff__parameterized0_19 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].wr_stg_inst                                                                                    |                                                        xsdbm_6_synchronizer_ff__parameterized0_20 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[2].rd_stg_inst                                                                                    |                                                        xsdbm_6_synchronizer_ff__parameterized0_21 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[2].wr_stg_inst                                                                                    |                                                        xsdbm_6_synchronizer_ff__parameterized0_22 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gl0.rd                                                                                                  |                                                                  xsdbm_6_rd_logic__parameterized0 | Reconfigurable |            - |         14 |         14 |       0 |    0 |     19 |      0 |      0 |    0 |          0 |
|                                 gr1.gr1_int.rfwft                                                                                                       |                                                                                   xsdbm_6_rd_fwft | Reconfigurable |            - |          7 |          7 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                                 gras.rsts                                                                                                               |                                                                     xsdbm_6_rd_status_flags_as_17 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                                 grhf.rhf                                                                                                                |                                                      xsdbm_6_rd_handshaking_flags__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 rpntr                                                                                                                   |                                                                            xsdbm_6_rd_bin_cntr_18 | Reconfigurable |            - |          7 |          7 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gl0.wr                                                                                                  |                                                                  xsdbm_6_wr_logic__parameterized0 | Reconfigurable |            - |          5 |          5 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|                                 gwas.wsts                                                                                                               |                                                                     xsdbm_6_wr_status_flags_as_14 | Reconfigurable |            - |          2 |          2 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                                 gwhf.whf                                                                                                                |                                                                   xsdbm_6_wr_handshaking_flags_15 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 wpntr                                                                                                                   |                                                                            xsdbm_6_wr_bin_cntr_16 | Reconfigurable |            - |          3 |          3 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.mem                                                                                                     |                                                                    xsdbm_6_memory__parameterized0 | Reconfigurable |            - |         10 |          0 |      10 |    0 |     32 |      0 |      0 |    0 |          0 |
|                                 (gntv_or_sync_fifo.mem)                                                                                                 |                                                                    xsdbm_6_memory__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 gdm.dm_gen.dm                                                                                                           |                                                                                   xsdbm_6_dmem_13 | Reconfigurable |            - |         10 |          0 |      10 |    0 |     16 |      0 |      0 |    0 |          0 |
|                               rstblk                                                                                                                    |                                                                       xsdbm_6_reset_blk_ramfifo_8 | Reconfigurable |            - |          3 |          3 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 (rstblk)                                                                                                                |                                                                       xsdbm_6_reset_blk_ramfifo_8 | Reconfigurable |            - |          0 |          0 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].rrst_inst                                                                |                                                                         xsdbm_6_synchronizer_ff_9 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].wrst_inst                                                                |                                                                        xsdbm_6_synchronizer_ff_10 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].rrst_inst                                                                |                                                                        xsdbm_6_synchronizer_ff_11 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].wrst_inst                                                                |                                                                        xsdbm_6_synchronizer_ff_12 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                   U_CMD6_WR                                                                                                                             |                                                                        xsdbm_6_xsdbm_v3_0_0_wrreg | Reconfigurable |            - |         43 |         33 |      10 |    0 |    110 |      0 |      0 |    0 |          0 |
|                     (U_CMD6_WR)                                                                                                                         |                                                                        xsdbm_6_xsdbm_v3_0_0_wrreg | Reconfigurable |            - |          2 |          2 |       0 |    0 |     20 |      0 |      0 |    0 |          0 |
|                     U_WR_FIFO                                                                                                                           |                                                                       xsdbm_6_xsdbm_v3_0_0_wrfifo | Reconfigurable |            - |         41 |         31 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                       (U_WR_FIFO)                                                                                                                       |                                                                       xsdbm_6_xsdbm_v3_0_0_wrfifo | Reconfigurable |            - |          2 |          2 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       SUBCORE_FIFO.xsdbm_v3_0_0_wrfifo_inst                                                                                             |                                                                    xsdbm_6_fifo_generator_v13_1_4 | Reconfigurable |            - |         39 |         29 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                         (SUBCORE_FIFO.xsdbm_v3_0_0_wrfifo_inst)                                                                                         |                                                                    xsdbm_6_fifo_generator_v13_1_4 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                         inst_fifo_gen                                                                                                                   |                                                              xsdbm_6_fifo_generator_v13_1_4_synth | Reconfigurable |            - |         39 |         29 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                           gconvfifo.rf                                                                                                                  |                                                                        xsdbm_6_fifo_generator_top | Reconfigurable |            - |         39 |         29 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                             grf.rf                                                                                                                      |                                                                    xsdbm_6_fifo_generator_ramfifo | Reconfigurable |            - |         39 |         29 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
