Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Thu Apr 30 15:17:34 2026
| Host         : clara running 64-bit NixOS 25.11 (Xantusia)
| Command      : report_utilization -hierarchical -file util_ushell_2.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|                                 (gntv_or_sync_fifo.mem)                                                                                                 |                                                                    xsdbm_3_memory__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 gdm.dm_gen.dm                                                                                                           |                                                                                   xsdbm_3_dmem_13 | Reconfigurable |            - |         10 |          0 |      10 |    0 |     16 |      0 |      0 |    0 |          0 |
|                               rstblk                                                                                                                    |                                                                       xsdbm_3_reset_blk_ramfifo_8 | Reconfigurable |            - |          2 |          2 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 (rstblk)                                                                                                                |                                                                       xsdbm_3_reset_blk_ramfifo_8 | Reconfigurable |            - |          0 |          0 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].rrst_inst                                                                |                                                                         xsdbm_3_synchronizer_ff_9 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].wrst_inst                                                                |                                                                        xsdbm_3_synchronizer_ff_10 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].rrst_inst                                                                |                                                                        xsdbm_3_synchronizer_ff_11 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].wrst_inst                                                                |                                                                        xsdbm_3_synchronizer_ff_12 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                   U_CMD6_WR                                                                                                                             |                                                                        xsdbm_3_xsdbm_v3_0_0_wrreg | Reconfigurable |            - |         43 |         33 |      10 |    0 |    110 |      0 |      0 |    0 |          0 |
|                     (U_CMD6_WR)                                                                                                                         |                                                                        xsdbm_3_xsdbm_v3_0_0_wrreg | Reconfigurable |            - |          2 |          2 |       0 |    0 |     20 |      0 |      0 |    0 |          0 |
|                     U_WR_FIFO                                                                                                                           |                                                                       xsdbm_3_xsdbm_v3_0_0_wrfifo | Reconfigurable |            - |         41 |         31 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                       (U_WR_FIFO)                                                                                                                       |                                                                       xsdbm_3_xsdbm_v3_0_0_wrfifo | Reconfigurable |            - |          2 |          2 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       SUBCORE_FIFO.xsdbm_v3_0_0_wrfifo_inst                                                                                             |                                                                    xsdbm_3_fifo_generator_v13_1_4 | Reconfigurable |            - |         39 |         29 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                         (SUBCORE_FIFO.xsdbm_v3_0_0_wrfifo_inst)                                                                                         |                                                                    xsdbm_3_fifo_generator_v13_1_4 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                         inst_fifo_gen                                                                                                                   |                                                              xsdbm_3_fifo_generator_v13_1_4_synth | Reconfigurable |            - |         39 |         29 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
